DEBUG:root:('Index: 0', 'SKU: GH-BBM-559', 'image_links: http://www.johnsonwindowfilms.com/images/tints/daylight-natural/dn-35-lg.jpg', 'attachment_links: https://i.imgur.com/5lKC6DM.jpg')
DEBUG:root:('Index: 69', 'SKU: GH-BMM-1055', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_41-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 70', 'SKU: GH-BMM-1056', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_41-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 71', 'SKU: GH-BMM-1057', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_41-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 72', 'SKU: GH-BMM-1058', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_41-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 73', 'SKU: GH-BMM-1059', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_41-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 74', 'SKU: GH-BMM-106', 'image_links: https://bax.tools/photos/TRHLI2201.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 75', 'SKU: GH-BMM-1060', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_40-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 76', 'SKU: GH-BMM-1061', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_40-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 77', 'SKU: GH-BMM-1062', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_40-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 78', 'SKU: GH-BMM-1063', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_40-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 79', 'SKU: GH-BMM-1064', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_40-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 80', 'SKU: GH-BMM-1065', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_40-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 81', 'SKU: GH-BMM-1066', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_40-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 82', 'SKU: GH-BMM-1067', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_40-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 83', 'SKU: GH-BMM-1068', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_40-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 84', 'SKU: GH-BMM-1069', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/PRESSURE_40-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 85', 'SKU: GH-BMM-107', 'image_links: https://bax.tools/photos/TRHLI1601.jpg', 'attachment_links: nan')
